130,8,37.538,0.012144
140,12,36.571,0.017141
150,14,36.267,0.019042
160,16,36,0.010903
170,14,36.706,0.016326
180,14,36.889,0.015637
190,14,37.053,0.015667
200,14,37.2,0.019311
210,16,36.952,0.01425
220,18,36.727,0.012144
230,16,37.217,0.015031
240,16,37.333,0.017103
250,16,37.44,0.015873
260,10,38.462,0.0042676
270,12,38.222,0.01761
280,12,38.286,0.018982
290,14,38.069,0.011381
300,14,38.133,0.013864
310,14,38.194,0.013648
320,14,38.25,0.016712
330,14,38.303,0.013865
340,14,38.353,0.014505
350,14,38.4,0.015222
360,14,38.444,0.013994
370,14,38.486,0.014956
380,14,38.526,0.016625
390,14,38.564,0.015554
400,14,38.6,0.01788
410,16,38.439,0.011712
420,16,38.476,0.012559
430,16,38.512,0.015435
440,16,38.545,0.014602
450,16,38.578,0.013561
460,16,38.609,0.013209
470,16,38.638,0.014243
480,16,38.667,0.015244
490,16,38.694,0.014545
500,14,38.88,0.014636
510,10,39.216,0.0041759
520,10,39.231,0.0041228
530,12,39.094,0.018259
540,12,39.111,0.019061
550,12,39.127,0.017831
560,12,39.143,0.018508
570,12,39.158,0.018938
580,12,39.172,0.019492
590,12,39.186,0.019926
600,14,39.067,0.012888
610,14,39.082,0.013213
620,14,39.097,0.012669
630,14,39.111,0.013272
640,14,39.125,0.01327
650,14,39.138,0.013153
660,14,39.152,0.013602
670,14,39.164,0.013859
680,14,39.176,0.01372
690,14,39.188,0.01399
700,14,39.2,0.014367
710,14,39.211,0.013555
720,14,39.222,0.01397
730,14,39.233,0.014787
740,14,39.243,0.014152
750,14,39.253,0.014778
760,14,39.263,0.015727
770,14,39.273,0.017539
780,14,39.282,0.016356
790,14,39.291,0.017661
800,14,39.3,0.018691
810,14,39.309,0.018063
820,14,39.317,0.019086
830,14,39.325,0.019864
840,16,39.238,0.011838
850,16,39.247,0.011924
860,16,39.256,0.012736
870,16,39.264,0.012526
880,16,39.273,0.012538
890,16,39.281,0.012816
900,16,39.289,0.012695
910,16,39.297,0.012413
920,16,39.304,0.013051
930,16,39.312,0.013602
940,16,39.319,0.01357
950,16,39.326,0.013737
960,16,39.333,0.014262
970,16,39.34,0.013838
980,16,39.347,0.014571
990,16,39.354,0.01421
1000,14,39.44,0.014667
1100,12,39.564,0.018366
1200,14,39.533,0.012255
1300,14,39.569,0.012772
1400,14,39.6,0.013892
1500,14,39.627,0.015056
1600,14,39.65,0.018269
1700,16,39.624,0.011623
1800,16,39.644,0.012346
1900,16,39.663,0.013395
2000,14,39.72,0.014223
2100,12,39.771,0.018381
2200,12,39.782,0.01862
2300,12,39.791,0.019124
2400,14,39.767,0.011696
2500,14,39.776,0.012377
2600,14,39.785,0.012654
2700,14,39.793,0.013534
2800,14,39.8,0.013788
2900,14,39.807,0.013763
3000,14,39.813,0.014974
3100,14,39.819,0.016839
3200,14,39.825,0.018335
3300,14,39.83,0.01904
3400,16,39.812,0.011574
3500,16,39.817,0.011985
3600,16,39.822,0.012555
3700,16,39.827,0.012967
3800,16,39.832,0.013332
3900,16,39.836,0.013673
4000,12,39.88,0.01601
4100,10,39.902,0.0043128
4200,12,39.886,0.018601
4300,12,39.888,0.018502
4400,12,39.891,0.018875
4500,12,39.893,0.019085
4600,12,39.896,0.019392
4700,12,39.898,0.019571
4800,14,39.883,0.011922
4900,14,39.886,0.01219
5000,14,39.888,0.012332
5100,14,39.89,0.012701
5200,14,39.892,0.012945
5300,14,39.894,0.013197
5400,14,39.896,0.013571
5500,14,39.898,0.013993
5600,14,39.9,0.013663
5700,14,39.902,0.013803
5800,14,39.903,0.013721
5900,14,39.905,0.014382
6000,14,39.907,0.01489
6100,14,39.908,0.015795
6200,14,39.91,0.016966
6300,14,39.911,0.018114
6400,14,39.913,0.018628
6500,14,39.914,0.018681
6600,14,39.915,0.019361
6700,14,39.916,0.019694
6800,16,39.906,0.011562
6900,16,39.907,0.011943
7000,16,39.909,0.012187
7100,16,39.91,0.012397
7200,16,39.911,0.012528
7300,16,39.912,0.012795
7400,16,39.914,0.013241
7500,16,39.915,0.013429
7600,16,39.916,0.013638
7700,16,39.917,0.0138
7800,16,39.918,0.013689
7900,16,39.919,0.014102
8000,12,39.94,0.016258
9000,12,39.947,0.019537
10000,14,39.944,0.012703
15000,16,39.957,0.01449
20000,14,39.972,0.014925
30000,16,39.979,0.017886
40000,16,39.984,0.019553
50000,22,39.982,0.017435
60000,42,39.972,0.019951
